num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
28,100000000,0.585259,18.3485,87.3125,21.6311,24.3793,3.1415926536,3.1415926536,3.1415926536,3.1414711475,3.1412105560
28,100000000,0.584811,22.1822,88.9653,20.7308,23.0579,3.1415926536,3.1415926536,3.1415926536,3.1414983273,3.1411452293
28,100000000,0.585312,21.7287,92.8877,21.0415,22.9857,3.1415926536,3.1415926536,3.1415926536,3.1415302753,3.1413869858
28,100000000,0.584354,17.6227,93.3515,23.5976,25.1337,3.1415926536,3.1415926536,3.1415926536,3.1416404247,3.1412866116
28,100000000,0.585121,22.0797,90.3276,22.0792,25.4179,3.1415926536,3.1415926536,3.1415926536,3.1414754391,3.1412458420
28,100000000,0.585398,18.6475,95.395,24.5436,26.4285,3.1415926536,3.1415926536,3.1415926536,3.1414873600,3.1412515640
28,100000000,0.585396,21.8495,96.0159,26.063,29.2774,3.1415926536,3.1415926536,3.1415926536,3.1416137218,3.1414227486
28,100000000,0.585375,24.479,96.7495,25.0657,27.5256,3.1415926536,3.1415926536,3.1415926536,3.1413424015,3.1410629749
28,100000000,0.585393,20.3668,100.862,26.6361,29.6749,3.1415926536,3.1415926536,3.1415926536,3.1415801048,3.1413576603
28,100000000,0.585679,21.0853,87.9934,39.7149,43.0132,3.1415926536,3.1415926536,3.1415926536,3.1415066719,3.1412672997
28,100000000,0.58543,18.4494,91.8011,39.4769,42.6667,3.1415926536,3.1415926536,3.1415926536,3.1412873268,3.1410949230
28,100000000,0.585284,17.7373,89.9265,41.6691,44.6859,3.1415926536,3.1415926536,3.1415926536,3.1413474083,3.1412105560
28,100000000,0.585683,22.3637,93.536,38.1538,42.7815,3.1415926536,3.1415926536,3.1415926536,3.1415090561,3.1412694454
28,100000000,0.585155,21.5787,95.8855,46.4257,47.7611,3.1415926536,3.1415926536,3.1415926536,3.1415042877,3.1411933899
28,100000000,0.584946,20.4164,95.7825,46.1269,49.1914,3.1415926536,3.1415926536,3.1415926536,3.1413846016,3.1411590576
28,100000000,0.584887,26.3422,122.527,45.5195,52.9694,3.1415926536,3.1415926536,3.1415926536,3.1414246559,3.1412553787
28,100000000,0.607213,26.0649,130.216,47.5743,54.8506,3.1415926536,3.1415926536,3.1415926536,3.1416957378,3.1413505077
28,100000000,0.585349,23.4773,119.74,77.8963,60.8352,3.1415926536,3.1415926536,3.1415926536,3.1415545940,3.1414184570
28,100000000,0.585301,23.8195,110.33,72.0733,79.3663,3.1415926536,3.1415926536,3.1415926536,3.1415791512,3.1412649155
28,100000000,0.585197,26.1408,132.763,76.3073,83.1688,3.1415926536,3.1415926536,3.1415926536,3.1416597366,3.1412432194
