num_threads,load_time,convert_time,lock_init_time,coo_spmv_time,csr_spmv_time,coo_spmv_serial_time,csr_spmv_serial_time,store_time
5,0.700474,0.042277,0.000225,3.063727,0.326627,1.497020,1.597148,0.025829
27,0.703348,0.040599,0.000274,3.045228,0.072394,1.495982,1.585877,0.093774
25,0.711889,0.041552,0.000304,3.048445,0.075058,1.498736,1.600249,0.094014
6,0.714289,0.041612,0.000229,3.075185,0.268931,1.499930,1.595831,0.059328
26,0.727508,0.040485,0.000280,3.060911,0.069909,1.507627,1.601120,0.266358
4,0.698679,0.044171,0.000220,3.075735,0.404069,1.500337,1.595730,0.298022
28,0.701494,0.044556,0.000388,3.050927,0.068582,1.491771,1.589580,0.309330
24,0.736025,0.054919,0.000286,3.077308,0.077278,1.497598,1.610106,0.272663
17,0.700171,0.039919,0.000266,3.063185,0.101492,1.504816,1.585386,0.303457
19,0.684011,0.040850,0.000289,3.041250,0.095801,1.501233,1.586526,0.828425
3,0.707905,0.044529,0.000212,3.055330,0.536254,1.505187,1.585480,0.936855
7,0.689557,0.041412,0.000223,3.050020,0.231943,1.496157,1.588256,1.011261
14,0.698314,0.039945,0.000249,3.058270,0.117210,1.492526,1.584068,1.017783
13,0.697982,0.040618,0.000247,3.057497,0.126778,1.501370,1.588772,0.837135
20,0.704369,0.040363,0.000291,3.052831,0.102150,1.492622,1.586500,0.785184
9,0.709851,0.041642,0.000232,3.047067,0.185733,1.501649,1.588331,0.887170
22,0.717603,0.040221,0.000294,3.054660,0.079589,1.500197,1.587960,1.026191
18,0.703278,0.056531,0.000287,3.051630,0.109519,1.499690,1.596029,0.802606
8,0.701648,0.044527,0.000242,3.050335,0.211659,1.500743,1.593666,0.843268
2,0.709797,0.048434,0.000205,3.062449,0.809620,1.507501,1.592418,0.690357
11,0.725894,0.042625,0.000242,3.054333,0.153382,1.496924,1.585156,0.747380
23,0.714614,0.042737,0.000342,3.064786,0.079243,1.500536,1.587228,0.974369
10,0.722559,0.040721,0.000229,3.068487,0.162179,1.498101,1.585323,0.737262
16,0.692860,0.044125,0.000294,3.057272,0.113749,1.493300,1.589803,1.076538
21,0.749225,0.054832,0.000260,3.074821,0.089078,1.494867,1.599085,0.961009
15,0.697506,0.039970,0.000254,3.055899,0.112319,1.497401,1.583926,1.049414
12,0.724599,0.043610,0.000263,3.069882,0.146202,1.503475,1.588601,0.759575
1,0.711911,0.056712,0.000204,3.056376,1.588692,1.495463,1.584986,0.030938
