num_threads,load_time,convert_time,lock_init_time,coo_spmv_time,csr_spmv_time,coo_spmv_serial_time,csr_spmv_serial_time,store_time
14,0.697104,0.039434,0.000255,3.065549,0.117094,1.503205,1.590459,0.025669
13,0.697999,0.040018,0.000236,3.069946,0.128353,1.502302,1.590851,0.022821
7,0.684248,0.043813,0.000230,3.053812,0.237890,1.495220,1.591003,0.032087
2,0.690973,0.047533,0.000206,3.063976,0.808568,1.502078,1.593047,0.058278
3,0.701372,0.043816,0.000215,3.074647,0.533602,1.500731,1.590749,0.032333
6,0.690722,0.041743,0.000215,3.044379,0.272405,1.502338,1.584576,0.112202
5,0.704042,0.042851,0.000216,3.064282,0.324852,1.498569,1.592103,0.113796
8,0.703289,0.041176,0.000236,3.049941,0.206556,1.501629,1.584938,0.058610
28,0.690150,0.040082,0.000299,3.051362,0.063901,1.504122,1.585382,0.030889
1,0.689422,0.055274,0.000205,3.054248,1.584679,1.494071,1.585842,0.923852
25,0.713375,0.039770,0.000293,3.069282,0.070253,1.507724,1.596011,1.033826
21,0.709318,0.039997,0.000286,3.057470,0.083558,1.500906,1.586716,0.881649
16,0.715277,0.041015,0.000258,3.074729,0.108103,1.503172,1.584966,1.014225
10,0.699388,0.040672,0.000241,3.062944,0.166427,1.500391,1.586793,1.073869
23,0.714443,0.040285,0.000285,3.058247,0.080979,1.500733,1.592586,0.979188
24,0.713370,0.040810,0.000293,3.062508,0.080466,1.500194,1.592875,0.985582
15,0.718027,0.043654,0.000253,3.064443,0.122388,1.497750,1.587774,1.001101
22,0.717023,0.043519,0.000342,3.054630,0.085035,1.500109,1.589433,0.795660
20,0.751514,0.054031,0.000261,3.072808,0.093307,1.495793,1.599757,0.720603
18,0.704987,0.041497,0.000287,3.043961,0.106335,1.492465,1.585981,0.827143
19,0.701645,0.039471,0.000278,3.034807,0.095876,1.494966,1.581722,0.856682
27,0.716226,0.044055,0.000347,3.050714,0.081424,1.499130,1.591167,0.890330
17,0.719665,0.047332,0.000267,3.076649,0.110427,1.502432,1.598703,0.759456
4,0.686092,0.044273,0.000221,3.056691,0.404547,1.501011,1.591160,0.984096
12,0.707514,0.046570,0.000241,3.068935,0.141810,1.499501,1.588226,0.836875
11,0.716633,0.044196,0.000260,3.071435,0.157884,1.498848,1.589794,0.806866
26,0.728695,0.048003,0.000255,3.052611,0.085437,1.495829,1.591189,0.893551
9,0.712961,0.041140,0.000223,3.059985,0.184962,1.498313,1.586127,0.824121
