num_threads,load_time,convert_time,lock_init_time,coo_spmv_time,csr_spmv_time,coo_spmv_serial_time,csr_spmv_serial_time,store_time
19,0.693594,0.040117,0.000283,3.041168,0.094695,1.491213,1.589241,0.028377
17,0.699844,0.040002,0.000265,3.061438,0.100369,1.497464,1.592132,0.025033
24,0.697484,0.041150,0.000292,3.052398,0.076037,1.499925,1.593172,0.083080
23,0.706310,0.039615,0.000277,3.054059,0.073677,1.497738,1.589857,0.024736
25,0.723717,0.040612,0.000290,3.060555,0.071030,1.504489,1.595341,0.023988
6,0.687901,0.042141,0.000229,3.051841,0.271234,1.498769,1.587405,0.060551
3,0.687839,0.044549,0.000208,3.066851,0.536782,1.503366,1.592405,0.056863
21,0.715644,0.039896,0.000291,3.050185,0.083026,1.500232,1.587080,0.033718
22,0.714633,0.045037,0.000340,3.057664,0.085536,1.497686,1.592074,0.387034
20,0.749739,0.053961,0.000258,3.078896,0.092699,1.497124,1.598940,0.344621
8,0.722968,0.042126,0.000231,3.049548,0.207062,1.497538,1.589693,0.404152
7,0.698474,0.042895,0.000244,3.069613,0.237573,1.498754,1.588914,0.399549
9,0.699376,0.039991,0.000226,3.068662,0.180402,1.501206,1.585780,0.585269
18,0.681963,0.040402,0.000291,3.036984,0.100124,1.500665,1.587859,0.667189
2,0.684199,0.047264,0.000205,3.067875,0.810559,1.504701,1.593855,0.792867
4,0.688808,0.044678,0.000222,3.061901,0.410534,1.500221,1.591628,0.685110
13,0.695773,0.040090,0.000238,3.069809,0.127953,1.497228,1.584867,0.729862
5,0.706736,0.041331,0.000214,3.068554,0.322475,1.499725,1.590259,0.714370
14,0.701076,0.040282,0.000249,3.053245,0.119416,1.495778,1.584183,0.622771
11,0.712353,0.043363,0.000260,3.063575,0.154962,1.502151,1.591813,0.672522
28,0.727530,0.042321,0.000283,3.044478,0.066409,1.498661,1.587421,0.637303
15,0.710230,0.043931,0.000270,3.048337,0.120106,1.496235,1.589438,0.604760
16,0.732758,0.039292,0.000255,3.053555,0.107515,1.496508,1.585525,0.596688
12,0.698262,0.040167,0.000245,3.063746,0.138751,1.501424,1.588843,0.626254
27,0.727750,0.044149,0.000331,3.044473,0.078172,1.503889,1.591165,0.626806
10,0.711868,0.040678,0.000238,3.056796,0.166668,1.495386,1.588405,0.605591
26,0.742432,0.049501,0.000275,3.058377,0.085253,1.497691,1.588847,0.612046
1,0.690367,0.055259,0.000205,3.054344,1.585052,1.492345,1.585926,0.295286
