num_threads,load_time,convert_time,lock_init_time,coo_spmv_time,csr_spmv_time,coo_spmv_serial_time,csr_spmv_serial_time,store_time
7,0.679864,0.040676,0.000224,3.045060,0.231540,1.501269,1.588866,0.028353
5,0.680422,0.042245,0.000229,3.053227,0.328942,1.503225,1.596768,0.033597
27,0.726321,0.039649,0.000270,3.047924,0.071871,1.494272,1.582942,0.032794
28,0.722944,0.044141,0.000337,3.051790,0.070236,1.493693,1.588584,0.022991
6,0.710087,0.042115,0.000225,3.063587,0.281669,1.502510,1.598562,0.055509
4,0.694652,0.042607,0.000214,3.057407,0.401296,1.496398,1.597512,0.126940
9,0.706315,0.040318,0.000240,3.048419,0.181700,1.500808,1.584188,0.126971
8,0.698392,0.043329,0.000237,3.049190,0.212378,1.500360,1.588337,0.081813
25,0.718935,0.042155,0.000292,3.044816,0.075527,1.495473,1.598214,0.032225
26,0.729714,0.041138,0.000302,3.057784,0.069250,1.505454,1.599107,0.024558
24,0.745259,0.055065,0.000282,3.064500,0.078001,1.499854,1.608472,0.023568
14,0.695311,0.040958,0.000237,3.065170,0.121016,1.499094,1.588136,0.032755
13,0.694510,0.040093,0.000244,3.058891,0.128900,1.502537,1.586120,0.032452
15,0.704264,0.039927,0.000257,3.062318,0.111110,1.495401,1.587111,0.032572
11,0.715283,0.040734,0.000245,3.062391,0.151128,1.499816,1.584389,0.032041
12,0.717116,0.043641,0.000268,3.066005,0.147414,1.500985,1.588115,0.023646
10,0.719937,0.040884,0.000229,3.063011,0.165610,1.501437,1.586105,0.023613
3,0.712388,0.045174,0.000221,3.060800,0.537635,1.503235,1.588471,0.412202
16,0.694824,0.044934,0.000289,3.063171,0.113676,1.498086,1.591206,0.449728
22,0.720762,0.040109,0.000286,3.052074,0.079226,1.499119,1.584097,0.478090
23,0.724264,0.044520,0.000319,3.060195,0.083418,1.501171,1.593525,0.432584
17,0.717323,0.040055,0.000268,3.068114,0.102707,1.501923,1.585534,0.405601
19,0.691683,0.040305,0.000279,3.033299,0.106522,1.495187,1.584102,0.469805
18,0.692821,0.042783,0.000277,3.042839,0.112857,1.499293,1.585688,0.444000
20,0.708785,0.039483,0.000281,3.038880,0.101991,1.490938,1.583803,0.459089
21,0.747375,0.054133,0.000441,3.064272,0.088416,1.497460,1.603356,0.378707
2,0.701200,0.047554,0.000206,3.060262,0.807649,1.504290,1.593986,0.186204
1,0.687777,0.056457,0.000206,3.058804,1.584787,1.498256,1.585129,0.024573
