num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,100000000,0.584536,1.51403,1.36435,2.42405,2.99241,3.1415926536,3.1415926536,3.1415926536,3.1416978836,3.1414201260
2,100000000,0.584881,2.73966,7.5222,5.57866,6.85316,3.1415926536,3.1415926536,3.1415926536,3.1416831017,3.1413433552
3,100000000,0.585193,5.39861,14.5705,16.4926,18.1017,3.1415926536,3.1415926536,3.1415926536,3.1416063309,3.1414582729
4,100000000,0.585409,8.06185,27.588,16.6962,19.0299,3.1415926536,3.1415926536,3.1415926536,3.1417109966,3.1413860321
5,100000000,0.585772,11.0193,42.5973,37.4797,40.9296,3.1415926536,3.1415926536,3.1415926536,3.1414320469,3.1411924362
6,100000000,0.58477,6.43355,33.5904,47.8186,52.3832,3.1415926536,3.1415926536,3.1415926536,3.1415040493,3.1413235664
7,100000000,0.58563,14.3146,36.5554,20.7585,22.8371,3.1415926536,3.1415926536,3.1415926536,3.1415030956,3.1413104534
8,100000000,0.584867,13.4718,74.6228,62.2105,68.6195,3.1415926536,3.1415926536,3.1415926536,3.1414642334,3.1411852837
9,100000000,0.586099,21.5274,84.0921,57.7667,52.444,3.1415926536,3.1415926536,3.1415926536,3.1415679455,3.1413919926
10,100000000,0.58555,17.2782,57.1396,25.0452,27.8404,3.1415926536,3.1415926536,3.1415926536,3.1415045261,3.1412413120
11,100000000,0.586126,15.9671,55.5445,42.6614,46.0514,3.1415926536,3.1415926536,3.1415926536,3.1415076256,3.1411690712
12,100000000,0.586141,25.9798,76.4669,49.2711,58.0596,3.1415926536,3.1415926536,3.1415926536,3.1416566372,3.1413333416
13,100000000,0.58569,16.8593,62.3786,24.4703,26.7954,3.1415926536,3.1415926536,3.1415926536,3.1415741444,3.1411750317
14,100000000,0.585723,21.8956,60.8677,41.0419,43.1525,3.1415926536,3.1415926536,3.1415926536,3.1414666176,3.1412079334
15,100000000,0.586254,22.0092,64.7247,43.3438,46.8672,3.1415926536,3.1415926536,3.1415926536,3.1414911747,3.1412358284
16,100000000,0.585872,24.4253,113.945,58.995,62.7522,3.1415926536,3.1415926536,3.1415926536,3.1417212486,3.1412954330
17,100000000,0.585417,21.1888,71.9484,27.1408,29.4461,3.1415926536,3.1415926536,3.1415926536,3.1417081356,3.1412096024
18,100000000,0.586094,21.3144,72.0874,27.2859,31.0336,3.1415926536,3.1415926536,3.1415926536,3.1414740086,3.1412537098
19,100000000,0.585142,22.2472,71.219,25.353,28.0946,3.1415926536,3.1415926536,3.1415926536,3.1415789127,3.1411499977
20,100000000,0.585376,22.8553,84.5965,40.9693,49.6909,3.1415926536,3.1415926536,3.1415926536,3.1416471004,3.1414172649
