variant,load,convert,alloc,compute,store
CPU-CSR,0.5927926666666666,0.03321233333333334,0.0,0.321996,0.021240666666666668
GPU-CSR,0.5927926666666666,0.03321233333333334,0.22552400000000003,0.040792166666666664,0.021240666666666668
