num_threads,num_items,serial_time,nlogn_time,n_time
11,33554432,0.0265229,0.102879,0.0481671
26,33554432,0.0240228,0.137794,0.0552537
28,33554432,0.0243775,0.14336,0.0544467
2,33554432,0.0241525,0.161908,0.0914239
27,33554432,0.0256336,0.144128,0.067904
1,33554432,0.023844,0.322636,0.132663
3,33554432,0.0240821,0.161073,0.0709514
4,33554432,0.0256124,0.112582,0.0441354
9,33554432,0.0232785,0.123893,0.0539752
13,33554432,0.0247343,0.141425,0.0481611
12,33554432,0.0245022,0.140839,0.0585204
6,33554432,0.0242457,0.111618,0.0558895
17,33554432,0.0247027,0.160045,0.0901025
23,33554432,0.0243113,0.132417,0.0590017
22,33554432,0.0236836,0.157013,0.0525004
5,33554432,0.0261477,0.144192,0.0686884
16,33554432,0.0246166,0.116658,0.0677238
25,33554432,0.0240363,0.156709,0.0583331
24,33554432,0.0466606,0.166351,0.0598154
10,33554432,0.0699756,0.223733,0.103149
7,33554432,0.0522899,0.138253,0.132115
8,33554432,0.0497861,0.153886,0.0605392
15,33554432,0.0242868,0.134696,0.0515411
14,33554432,0.0235312,0.133383,0.0512842
21,33554432,0.0249593,0.162658,0.0562963
18,33554432,0.023993,0.164242,0.0559641
20,33554432,0.025042,0.135682,0.0648199
19,33554432,0.0258616,0.178582,0.0827338
