num_threads,num_items,serial_time,nlogn_time,n_time
2,33554432,0.0240089,0.164327,0.090364
1,33554432,0.0235896,0.324601,0.132919
10,33554432,0.0697142,0.229602,0.10628
12,33554432,0.0238729,0.140967,0.114957
13,33554432,0.0482641,0.141094,0.0616524
11,33554432,0.0243042,0.165223,0.0466464
8,33554432,0.0402377,0.146698,0.0571131
24,33554432,0.0240555,0.16691,0.0564244
27,33554432,0.0241172,0.14614,0.0562675
26,33554432,0.0239907,0.132281,0.0519961
28,33554432,0.0360173,0.141838,0.0516356
3,33554432,0.0234606,0.158493,0.0718614
18,33554432,0.0235775,0.164929,0.0530481
21,33554432,0.024375,0.164839,0.0556837
9,33554432,0.0265039,0.127129,0.0540121
25,33554432,0.027191,0.155231,0.0565568
7,33554432,0.0364813,0.134444,0.0784369
20,33554432,0.0235775,0.13209,0.114749
22,33554432,0.0232413,0.156633,0.0574556
23,33554432,0.0237405,0.140036,0.0581997
19,33554432,0.144499,0.196896,0.0513751
5,33554432,0.0235918,0.146765,0.0853482
6,33554432,0.0239011,0.110454,0.0587618
15,33554432,0.0244005,0.140099,0.0507867
17,33554432,0.0245056,0.160748,0.0579091
4,33554432,0.0243814,0.128743,0.0464973
16,33554432,0.0235824,0.140729,0.055522
14,33554432,0.0233767,0.132974,0.0525305
