num_threads,num_items,serial_time,nlogn_time,n_time
6,33554432,0.0712359,0.225393,0.107251
5,33554432,0.0239158,0.135931,0.0550936
15,33554432,0.0289255,0.118474,0.0400622
3,33554432,0.0522451,0.172487,0.112357
2,33554432,0.0253014,0.163493,0.0927179
4,33554432,0.0434797,0.187316,0.0762867
1,33554432,0.0266378,0.324903,0.132372
28,33554432,0.026715,0.142123,0.0504523
24,33554432,0.0264596,0.171517,0.0597497
9,33554432,0.0241709,0.155086,0.0546689
25,33554432,0.0335075,0.15912,0.0571616
26,33554432,0.0239163,0.130802,0.0542543
20,33554432,0.0282078,0.149142,0.0599846
22,33554432,0.0241257,0.156452,0.0595627
23,33554432,0.0260467,0.138406,0.0725409
27,33554432,0.0570364,0.14774,0.0495786
7,33554432,0.0252563,0.133994,0.0470569
8,33554432,0.0265248,0.11519,0.0443168
18,33554432,0.0251207,0.126735,0.0470427
14,33554432,0.024606,0.114805,0.0482302
17,33554432,0.0248169,0.141517,0.0491526
16,33554432,0.0295438,0.117623,0.0563959
19,33554432,0.0272406,0.13531,0.0511544
21,33554432,0.0264749,0.180241,0.0586796
13,33554432,0.0256657,0.144163,0.0504249
10,33554432,0.023958,0.138362,0.0565667
12,33554432,0.0259893,0.144818,0.0611132
11,33554432,0.025151,0.148148,0.0703424
