num_threads,num_items,serial_time,nlogn_time,n_time
2,33554432,0.0241824,0.161292,0.0918044
1,33554432,0.023823,0.324456,0.13185
9,33554432,0.0244535,0.123875,0.0557388
7,33554432,0.0359772,0.134993,0.0814943
4,33554432,0.0248229,0.110599,0.0433981
8,33554432,0.0473044,0.150144,0.0629062
18,33554432,0.0239585,0.143135,0.0527564
5,33554432,0.027639,0.14627,0.069959
27,33554432,0.0245829,0.138051,0.0977497
26,33554432,0.0234615,0.134,0.0516738
19,33554432,0.026462,0.129803,0.0532231
28,33554432,0.0283969,0.144045,0.0512361
6,33554432,0.0237658,0.110659,0.0561498
3,33554432,0.0234357,0.164477,0.0705835
20,33554432,0.0244131,0.135538,0.0601455
22,33554432,0.0234774,0.125217,0.0506902
24,33554432,0.0255339,0.166952,0.0626149
21,33554432,0.05163,0.164609,0.0556892
16,33554432,0.0249145,0.117663,0.0601351
25,33554432,0.0243435,0.156286,0.0572562
14,33554432,0.0234739,0.133596,0.0532268
15,33554432,0.0245275,0.139029,0.0626441
23,33554432,0.0252821,0.135992,0.0553242
13,33554432,0.024592,0.143642,0.0498814
12,33554432,0.0248989,0.13963,0.0647694
17,33554432,0.0593746,0.159632,0.0561733
11,33554432,0.0256104,0.153318,0.142494
10,33554432,0.0709214,0.271668,0.10584
