num_threads,num_items,serial_time,nlogn_time,n_time
18,33554432,0.0234632,0.150542,0.0498197
20,33554432,0.0236832,0.132561,0.0590844
2,33554432,0.0240386,0.163187,0.0910832
1,33554432,0.024116,0.323392,0.133012
28,33554432,0.0240286,0.139715,0.0490757
21,33554432,0.0310173,0.164333,0.0544257
19,33554432,0.0249925,0.140467,0.0506326
27,33554432,0.0236658,0.142999,0.0664859
26,33554432,0.0236763,0.131889,0.0519673
7,33554432,0.0552722,0.134596,0.0992381
9,33554432,0.0244838,0.127757,0.0673094
8,33554432,0.0447614,0.147329,0.0619825
13,33554432,0.0240796,0.142748,0.0532852
23,33554432,0.024179,0.130666,0.12901
12,33554432,0.0233885,0.142054,0.0550132
22,33554432,0.0235235,0.190048,0.050331
4,33554432,0.0242998,0.128813,0.0600435
25,33554432,0.0238856,0.155758,0.0613927
6,33554432,0.0237171,0.109679,0.0568155
5,33554432,0.0244899,0.15472,0.0702943
24,33554432,0.0290216,0.166088,0.0587587
11,33554432,0.0239933,0.148443,0.169189
14,33554432,0.0241361,0.135097,0.0549105
16,33554432,0.0245354,0.134181,0.0522021
3,33554432,0.0242361,0.167349,0.0704908
15,33554432,0.0243464,0.154087,0.0663561
17,33554432,0.0246812,0.161604,0.0758017
10,33554432,0.06935,0.282485,0.10454
