num_threads,num_items,serial_time,nlogn_time,n_time
1,335544320,0.21283,1.24493,1.14039
2,335544320,0.171944,0.690322,0.765006
3,335544320,0.222167,0.613118,0.461787
4,335544320,0.219353,0.532268,0.413622
5,335544320,0.201358,0.510675,0.406809
6,335544320,0.216988,0.574156,0.409568
7,335544320,0.191065,0.491759,0.40812
8,335544320,0.185282,0.485124,0.388744
1,335544320,0.222217,1.18916,0.987418
2,335544320,0.21011,0.719272,0.597913
3,335544320,0.191934,0.580218,0.456872
4,335544320,0.189225,0.504421,0.415498
5,335544320,0.201053,0.495114,0.401191
6,335544320,0.222967,0.497369,0.46534
7,335544320,0.20318,0.540342,0.467365
8,335544320,0.187997,0.483409,0.392324
1,335544320,0.186041,1.14294,0.834691
2,335544320,0.20735,0.743927,0.70996
3,335544320,0.216367,0.638688,0.523691
4,335544320,0.211765,0.578676,0.534043
5,335544320,0.200221,0.498317,0.508701
6,335544320,0.201224,0.475472,0.393686
7,335544320,0.19819,0.480054,0.388449
8,335544320,0.197937,0.471133,0.39279
1,335544320,0.199886,1.14366,1.76528
2,335544320,0.151057,0.732065,0.841538
3,335544320,0.165443,0.781542,0.636075
4,335544320,0.193256,0.524193,0.46464
5,335544320,0.186391,0.503347,0.41494
6,335544320,0.21017,0.492101,0.388476
7,335544320,0.190076,0.493407,0.399574
8,335544320,0.174672,0.475668,0.399122
1,335544320,0.233711,1.16691,1.03959
2,335544320,0.217012,0.785617,0.765172
3,335544320,0.176243,0.580474,0.498662
4,335544320,0.192327,0.538078,0.460186
5,335544320,0.194553,0.520433,0.414651
6,335544320,0.19085,0.486175,0.521817
7,335544320,0.196453,0.53029,0.519567
8,335544320,0.166317,0.488596,0.47139
