num_threads,num_items,serial_time,nlogn_time,n_time
1,335544320,0.22658019999999998,3.79561,2.06466
2,335544320,0.2267122,1.937894,1.6144939999999999
3,335544320,0.2248224,2.1528840000000002,1.580012
4,335544320,0.2394302,1.7689879999999998,1.5899519999999998
5,335544320,0.22644820000000002,2.209022,1.64418
6,335544320,0.22740100000000002,1.64843,1.56736
7,335544320,0.40461919999999996,1.890482,2.442282
8,335544320,0.27016239999999997,2.163706,1.795366
9,335544320,0.23377940000000003,1.854682,1.6979520000000001
10,335544320,1.073632,4.443558,2.349606
11,335544320,0.23084699999999997,2.102852,3.196198
12,335544320,0.2254818,1.9741019999999998,1.7765419999999998
13,335544320,0.2357906,2.065678,1.666858
14,335544320,0.22764259999999997,1.9548400000000001,1.642464
15,335544320,0.2280088,2.046968,1.7895139999999998
16,335544320,0.22811379999999998,1.9008679999999998,1.7328959999999998
17,335544320,0.2302546,2.258166,2.0293859999999997
18,335544320,0.2262556,2.3065740000000003,1.6546859999999999
19,335544320,0.2278176,2.46947,2.397606
20,335544320,0.225368,1.9407899999999998,1.935612
21,335544320,0.2283362,2.3510660000000003,1.64865
22,335544320,0.22733560000000003,2.245872,1.6840499999999998
23,335544320,0.22728739999999997,2.0252600000000003,1.8346139999999997
24,335544320,0.226188,2.38248,1.784478
25,335544320,0.22577379999999997,2.2590980000000003,1.664406
26,335544320,0.22549380000000002,2.020492,1.676376
27,335544320,0.22660619999999998,2.1408180000000003,1.9891020000000001
28,335544320,0.225271,2.052092,1.7430720000000002
