num_threads,num_items,serial_time,nlogn_time,n_time
2,335544320,0.227477,1.9415,1.61354
26,335544320,0.225173,2.01468,1.67609
28,335544320,0.225435,2.07268,1.7151
27,335544320,0.227242,2.14262,2.02422
9,335544320,0.260654,1.85554,1.61887
8,335544320,0.279083,2.08159,1.8734
6,335544320,0.227769,1.64695,1.56717
21,335544320,0.22763,2.35348,1.64347
14,335544320,0.226913,1.9458,1.63235
18,335544320,0.226102,2.28737,1.64244
4,335544320,0.238282,1.73146,1.61042
16,335544320,0.228283,1.88918,1.72167
15,335544320,0.228182,2.0452,1.74905
20,335544320,0.225189,1.95464,1.81273
3,335544320,0.224821,2.16242,1.57509
12,335544320,0.224564,1.97241,1.7823
7,335544320,0.317445,1.8655,2.57577
17,335544320,0.230115,2.2732,2.0945
1,335544320,0.227286,3.79396,2.06902
22,335544320,0.228265,2.26,1.71008
25,335544320,0.225622,2.26364,1.65992
5,335544320,0.22708,2.18876,1.63462
23,335544320,0.226472,2.02648,1.81256
13,335544320,0.270214,2.0863,1.92759
24,335544320,0.226131,2.36447,1.79486
19,335544320,0.228546,2.45667,2.9126
11,335544320,0.229653,2.07845,3.43692
10,335544320,1.07036,4.62202,2.34648
