num_threads,num_items,serial_time,nlogn_time,n_time
2,335544320,0.226657,1.93657,1.61129
9,335544320,0.228081,1.86122,1.66273
6,335544320,0.227451,1.64961,1.56889
8,335544320,0.264384,2.14782,1.77739
4,335544320,0.238216,1.8028,1.56973
3,335544320,0.224976,2.15242,1.57423
23,335544320,0.227959,2.01795,1.70433
22,335544320,0.226315,2.2025,1.66048
5,335544320,0.225779,2.21608,1.65281
1,335544320,0.226932,3.80149,2.06664
7,335544320,0.465407,1.91329,2.37147
25,335544320,0.225778,2.24889,1.66892
18,335544320,0.224934,2.2886,1.66691
13,335544320,0.22825,2.06891,1.59802
21,335544320,0.228477,2.34091,1.65017
14,335544320,0.227207,1.94157,1.65626
26,335544320,0.226369,2.02089,1.69314
12,335544320,0.225057,1.9886,1.78105
20,335544320,0.225924,1.94349,1.82038
16,335544320,0.227939,1.91537,1.71731
28,335544320,0.225024,2.04728,1.73141
24,335544320,0.225779,2.38434,1.7896
15,335544320,0.227605,2.06467,1.81281
27,335544320,0.22647,2.12625,1.96791
17,335544320,0.229754,2.261,2.12917
19,335544320,0.227399,2.46353,2.93084
11,335544320,0.228031,2.09548,3.42102
10,335544320,1.08674,4.61423,2.3402
