num_threads,num_items,serial_time,nlogn_time,n_time
9,335544320,0.226567,1.84651,1.76919
2,335544320,0.226192,1.93453,1.6146
6,335544320,0.22717,1.64825,1.56708
4,335544320,0.238184,1.7557,1.59985
13,335544320,0.226412,2.06252,1.599
8,335544320,0.270705,2.25262,1.79006
18,335544320,0.22527,2.32723,1.65132
3,335544320,0.224341,2.15226,1.5741
14,335544320,0.229102,1.94657,1.62381
15,335544320,0.227949,2.01628,1.65027
5,335544320,0.226726,2.22256,1.64671
26,335544320,0.226271,2.03005,1.67353
12,335544320,0.226545,1.96502,1.77576
21,335544320,0.229078,2.35256,1.6535
28,335544320,0.22505,2.03976,1.72836
20,335544320,0.224939,1.92081,2.04327
16,335544320,0.228423,1.90807,1.74494
22,335544320,0.229719,2.26807,1.70834
25,335544320,0.225627,2.26209,1.66016
7,335544320,0.470723,1.90448,2.37323
23,335544320,0.227119,2.01862,1.814
24,335544320,0.226634,2.37852,1.79252
17,335544320,0.230133,2.25028,2.00298
27,335544320,0.226535,2.13758,2.01316
1,335544320,0.226292,3.79716,2.06071
19,335544320,0.227078,2.48757,1.6028
11,335544320,0.23117,2.08605,3.24303
10,335544320,1.07831,4.45703,2.34552
