num_threads,num_items,serial_time,nlogn_time,n_time
2,335544320,0.226668,1.93874,1.61637
9,335544320,0.226337,1.85985,1.6805
13,335544320,0.227309,2.05431,1.60326
8,335544320,0.266809,2.15302,1.76482
6,335544320,0.226977,1.64931,1.56537
12,335544320,0.224956,1.96498,1.77301
3,335544320,0.224959,2.15138,1.58688
4,335544320,0.244525,1.77918,1.57533
7,335544320,0.384741,1.88507,2.29571
1,335544320,0.226343,3.79501,2.06629
14,335544320,0.22704,1.97125,1.64968
18,335544320,0.228136,2.30054,1.67081
26,335544320,0.225144,2.01325,1.67941
5,335544320,0.225505,2.20739,1.6436
21,335544320,0.228107,2.34644,1.66521
16,335544320,0.227895,1.87547,1.7683
28,335544320,0.225826,2.05547,1.72086
17,335544320,0.230732,2.2505,1.85698
20,335544320,0.225731,1.94493,1.79882
25,335544320,0.225861,2.26751,1.66283
22,335544320,0.226661,2.26208,1.68226
27,335544320,0.226387,2.14127,2.02319
24,335544320,0.226214,2.38507,1.75513
15,335544320,0.228325,2.02599,1.90058
23,335544320,0.227365,2.02287,2.13527
11,335544320,0.23817,2.16866,2.51492
19,335544320,0.227739,2.47607,2.92812
10,335544320,1.04941,3.93208,2.36382
