load_time,convert_time,cpu_csr_time,gpu_alloc_time,gpu_csr_time,gpu_ell_time,store_time
0.5947,0.034484,0.305738,0.226298,0.040754,0.05109,0.022227,
0.591068,0.031219,0.308966,0.226259,0.040753,0.051106,0.021026,
0.591956,0.035526,0.304494,0.224835,0.04076,0.051023,0.020695,
0.593348,0.03229,0.304366,0.226172,0.040834,0.051075,0.021573,
0.591463,0.033523,0.304365,0.225678,0.040735,0.051179,0.020823,
0.0,0.0,0.0,1.0,0.0,0.0,4007383.0,
0.0,0.0,0.0,1.0,0.0,0.0,4007383.0,
0.594221,0.032232,0.404047,0.223902,0.040917,0.051134,0.0211,
