num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,1000000000,5.8481,15.1691,13.0374,24.2806,29.5688,3.1415926536,3.1415926536,3.1415926536,3.1416034698,3.1415381432
2,1000000000,5.84845,35.7452,90.4665,39.1061,47.5448,3.1415926536,3.1415926536,3.1415926536,3.1416015625,3.1414799690
3,1000000000,5.85212,60.9832,224.064,147.896,162.663,3.1415926536,3.1415926536,3.1415926536,3.1415493488,3.1415312290
4,1000000000,5.84994,81.2701,266.308,176.543,196.439,3.1415926536,3.1415926536,3.1415926536,3.1415097713,3.1413912773
