num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,1000000000,5.85258,15.2265,13.6587,24.2813,29.9565,3.1415926536,3.1415926536,3.1415926536,3.1416034698,3.1415381432
2,1000000000,5.85127,63.0859,169.781,93.3725,112.062,3.1415926536,3.1415926536,3.1415926536,3.1414923668,3.1414182186
3,1000000000,5.84881,82.569,182.496,116.701,131.184,3.1415926536,3.1415926536,3.1415926536,3.1414294243,3.1413326263
4,1000000000,5.85344,72.4258,318.26,183.573,185.908,3.1415926536,3.1415926536,3.1415926536,3.1415784359,3.1414444447
